,barrio,Distrito,Vulnerabilidad,Esperanza de vida (años),Renta media hogar (€),Código,Superficiekm²2,fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,num_personas,num_personas_hombres,num_personas_mujeres
59,HISPANOAMERICA,Chamartín,118.0,"84,2",61.177,54,1.707,1 de enero de 2023,28079.0,Madrid,5, Chamartín,54,31.470,14.159,17.311
60,HORCAJO,Moratalaz,72.0,"82,2",41.991,142,0.745,1 de enero de 2023,28079.0,Madrid,14, Moratalaz,142,6.339,3.029,3.310
61,IBIZA,Retiro,106.0,"82,8",44.356,34,0.49,1 de enero de 2023,28079.0,Madrid,3, Retiro,34,21.492,9.568,11.924
62,IMPERIAL,Arganzuela,84.0,"83,7",41.022,21,0.967,1 de enero de 2023,28079.0,Madrid,2, Arganzuela,21,22.385,10.421,11.964
63,JERONIMOS,Retiro,121.0,"84,9",68.95,35,1.9,1 de enero de 2023,28079.0,Madrid,3, Retiro,35,6.825,3.177,3.648
64,JUSTICIA,Centro,68.0,"81,4",35.913,14,0.742,1 de enero de 2023,28079.0,Madrid,1, Centro,14,18.219,9.261,8.958
65,PAZ,Fuencarral-El Pardo,90.0,"84,4",57.509,85,2.159,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,85,32.192,14.964,17.228
66,AGUILAS,Latina,34.0,"83,2",29.036,107,3.609,1 de enero de 2023,28079.0,Madrid,10, Latina,107,51.268,23.725,27.543
67,LEGAZPI,Arganzuela,102.0,"82,9",46.59,24,1.396,1 de enero de 2023,28079.0,Madrid,2, Arganzuela,24,19.468,9.508,9.960
68,LISTA,Salamanca,103.0,"84,7",46.933,45,0.52,1 de enero de 2023,28079.0,Madrid,4, Salamanca,45,20.969,9.056,11.913
69,ANGELES,Villaverde,22.0,"83,2",27.746,175,1.944,1 de enero de 2023,28079.0,Madrid,17, Villaverde,175,34.827,16.292,18.535
70,ROSALES,Villaverde,23.0,"83,3",27.223,174,1.511,1 de enero de 2023,28079.0,Madrid,17, Villaverde,174,37.808,18.121,19.687
71,LUCERO,Latina,28.0,84,29.136,103,1.679,1 de enero de 2023,28079.0,Madrid,10, Latina,103,36.749,17.156,19.593
72,MARROQUINA,Moratalaz,66.0,"83,5",39.335,143,1.789,1 de enero de 2023,28079.0,Madrid,14, Moratalaz,143,26.120,11.962,14.158
73,MEDIA LEGUA,Moratalaz,51.0,"83,5",34.988,144,0.999,1 de enero de 2023,28079.0,Madrid,14, Moratalaz,144,17.323,7.828,9.495
74,MIRASIERRA,Fuencarral-El Pardo,109.0,"82,8",73.75,87,6.975,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,87,35.676,17.160,18.516
75,MOSCARDO,Usera,17.0,"82,2",24.962,125,0.908,1 de enero de 2023,28079.0,Madrid,12, Usera,125,26.579,12.531,14.048
